	GCA_002899375.1_ASM289937v1_protein	GCA_002899415.1_ASM289941v1_protein	GCF_000264275.1_ASM26427v1_protein	GCF_000292365.1_ASM29236v1_protein	GCF_000336425.1_ASM33642v1_protein	GCF_000342205.1_SerMar_1.0_protein	GCF_000418815.1_S_marcescensMC620-1.0_protein	GCF_000418835.1_S_marcescensMC6001-1.0_protein	GCF_000418855.2_S_marcescensMC6000-1.0_protein	GCF_000418875.1_S_marcescensMC460-1.0_protein	GCF_000418895.1_S_marcescensMC459-1.0_protein	GCF_000418915.1_S_marcescensMC458-1.0_protein	GCF_000418935.1_S_marcescensAB42556419-isolate1-1.0_protein	GCF_000442375.1_S.marcescens_LCT-SM262_protein	GCF_000442455.1_S.marcescens_LCT-SM166_protein	GCF_000465615.2_GS_De_Novo_Assembly_protein	GCF_000513215.1_DB11_protein	GCF_000521905.1_Serr_marc_BIDMC_50_V1_protein	GCF_000521925.1_Serr_marc_BIDMC_44_V1_protein	GCF_000633335.1_de_novo_protein	GCF_000633555.1_de_novo_protein	GCF_000633695.1_Serr_marc_BIDMC_81_V1_protein	GCF_000633715.1_Serr_marc_BIDMC_80_V1_protein	GCF_000695485.1_smgenome_protein	GCF_000734475.1_ASM73447v1_protein	GCF_000735445.1_GSMA_DRAFTv1_protein	GCF_000738535.1_ASM73853v1_protein	GCF_000739215.1_ASM73921v1_protein	GCF_000743395.1_SAS_1_protein	GCF_000751195.1_Serratia_assembly_protein	GCF_000783615.1_ASM78361v2_protein	GCF_000783915.2_ASM78391v2_protein	GCF_000783975.2_ASM78397v2_protein	GCF_000805875.1_SmRM66262_v1.0_protein	GCF_000828775.1_ASM82877v1_protein	GCF_001007555.1_2015-04-28_protein	GCF_001022215.1_ASM102221v1_protein	GCF_001030265.1_Serr_marc_BWH57_V1_protein	GCF_001034395.1_Serr_marc_UCI87_V1_protein	GCF_001034405.1_Serr_marc_UCI88_V1_protein	GCF_001051865.1_ASM105186v1_protein	GCF_001060335.1_ASM106033v1_protein	GCF_001060585.1_ASM106058v1_protein	GCF_001060625.1_ASM106062v1_protein	GCF_001060655.1_ASM106065v1_protein	GCF_001061145.1_ASM106114v1_protein	GCF_001061195.1_ASM106119v1_protein	GCF_001061225.1_ASM106122v1_protein	GCF_001062235.1_ASM106223v1_protein	GCF_001062285.1_ASM106228v1_protein	GCF_001063125.1_ASM106312v1_protein	GCF_001063145.1_ASM106314v1_protein	GCF_001063175.1_ASM106317v1_protein	GCF_001063325.1_ASM106332v1_protein	GCF_001063375.1_ASM106337v1_protein	GCF_001064335.1_ASM106433v1_protein	GCF_001064345.1_ASM106434v1_protein	GCF_001064455.1_ASM106445v1_protein	GCF_001064715.1_ASM106471v1_protein	GCF_001064725.1_ASM106472v1_protein	GCF_001064835.1_ASM106483v1_protein	GCF_001064855.1_ASM106485v1_protein	GCF_001064975.1_ASM106497v1_protein	GCF_001065325.1_ASM106532v1_protein	GCF_001065405.1_ASM106540v1_protein	GCF_001065845.1_ASM106584v1_protein	GCF_001065935.1_ASM106593v1_protein	GCF_001066015.1_ASM106601v1_protein	GCF_001066945.1_ASM106694v1_protein	GCF_001067015.1_ASM106701v1_protein	GCF_001067375.1_ASM106737v1_protein	GCF_001068085.1_ASM106808v1_protein	GCF_001076625.1_ASM107662v1_protein	GCF_001280365.1_ASM128036v1_protein	GCF_001294565.1_ASM129456v1_protein	GCF_001317205.2_56_S29v.02_protein	GCF_001317425.2_59_S30v.02_protein	GCF_001417865.2_ASM141786v2_protein	GCF_001643155.1_ASM164315v1_protein	GCF_001853455.1_ASM185345v1_protein	GCF_001853495.1_ASM185349v1_protein	GCF_001889685.1_ASM188968v1_protein	GCF_001902635.1_ASM190263v1_protein	GCF_001908015.1_ASM190801v1_protein	GCF_001908035.1_ASM190803v1_protein	GCF_001909165.1_ASM190916v1_protein	GCF_001932655.1_ASM193265v1_protein	GCF_001940505.1_ASM194050v1_protein	GCF_001975745.1_ASM197574v1_protein	GCF_002007925.1_ASM200792v2_protein	GCF_002029205.1_ASM202920v1_protein	GCF_002029225.1_ASM202922v1_protein	GCF_002094145.1_ASM209414v1_protein	GCF_002104095.1_ASM210409v1_protein	GCF_002104105.1_ASM210410v1_protein	GCF_002104115.1_ASM210411v1_protein	GCF_002108655.1_ASM210865v1_protein	GCF_002118055.1_ASM211805v1_protein	GCF_002152845.1_ASM215284v1_protein	GCF_002153355.1_ASM215335v1_protein	GCF_002205475.1_ASM220547v1_protein	GCF_002220515.1_ASM222051v1_protein	GCF_002220535.1_ASM222053v1_protein	GCF_002220555.1_ASM222055v1_protein	GCF_002220575.1_ASM222057v1_protein	GCF_002220595.1_ASM222059v1_protein	GCF_002220615.1_ASM222061v1_protein	GCF_002220635.1_ASM222063v1_protein	GCF_002220655.1_ASM222065v1_protein	GCF_002220675.1_ASM222067v1_protein	GCF_002220695.1_ASM222069v1_protein	GCF_002220715.1_ASM222071v1_protein	GCF_002250685.1_ASM225068v1_protein	GCF_002264105.1_ASM226410v1_protein	GCF_002264175.1_ASM226417v1_protein	GCF_002264285.1_ASM226428v1_protein	GCF_002265665.1_ASM226566v1_protein	GCF_002592035.1_ASM259203v1_protein	GCF_002738105.1_ASM273810v1_protein	GCF_002738145.1_ASM273814v1_protein	GCF_002738155.1_ASM273815v1_protein	GCF_002738185.1_ASM273818v1_protein	GCF_002762595.1_ASM276259v1_protein	GCF_002810285.1_ASM281028v1_protein	GCF_002886905.1_ASM288690v1_protein	GCF_002887105.1_ASM288710v1_protein	GCF_002899335.1_ASM289933v1_protein	GCF_002899355.1_ASM289935v1_protein	GCF_002899365.1_ASM289936v1_protein	GCF_002915435.1_ASM291543v1_protein	GCF_002915445.1_ASM291544v1_protein	GCF_002915475.1_ASM291547v1_protein	GCF_002920335.1_ASM292033v1_protein	GCF_002920345.1_ASM292034v1_protein	GCF_002920375.1_ASM292037v1_protein	GCF_002920385.1_ASM292038v1_protein	GCF_002920415.1_ASM292041v1_protein	GCF_002920435.1_ASM292043v1_protein	GCF_002920455.1_ASM292045v1_protein	GCF_002920475.1_ASM292047v1_protein	GCF_002920485.1_ASM292048v1_protein	GCF_002920515.1_ASM292051v1_protein	GCF_002947235.1_ASM294723v1_protein	GCF_900029885.1_Sm_SMB2099_protein	GCF_900108835.1_SM1978_protein
GCF_000805875.1_SmRM66262_v1.0_protein	3744	3928	3995	3971	3993	4001	3903	3903	3902	3896	3907	3906	3902	3665	3991	3973	4006	3991	4158	3982	3981	3978	4270	4001	4097	3977	4028	4267	3985	3974	4081	4153	4007	4368	4160	3991	3966	3880	3968	4279	4040	3926	4199	4028	4026	3953	4200	4197	3963	4210	3988	3987	3986	4003	4020	3986	3983	3983	4022	4007	4019	4019	4021	3976	3939	3915	3925	4114	4176	4187	4165	3907	3982	3992	4248	3992	3994	4014	4059	4102	4103	3684	3779	4144	4156	3937	4106	3985	3997	3613	4019	3991	4009	4233	4234	4237	4012	3935	4240	4131	3941	3998	3999	4251	4041	4006	4028	4069	4286	3962	4040	3993	3968	4155	4151	4159	3715	4012	4123	4155	3807	4217	3814	4156	3947	3947	4020	4025	3980	3995	3972	3972	4184	4182	4187	4182	4184	4188	4164	4187	4182	4176	4164	4199	3921
GCF_000828775.1_ASM82877v1_protein	3874	4088	4094	4162	4142	4146	4079	4109	4106	4101	4114	4120	4106	3739	4094	4110	4127	4137	4258	4173	4173	4131	4356	4103	4271	4137	4169	4337	4145	4134	4248	4355	4155	4160	4772	4143	4199	4086	4097	4343	4179	4065	4334	4128	4125	4104	4335	4333	4113	4348	4166	4163	4162	4146	4165	4162	4161	4160	4167	4150	4163	4164	4166	4146	4067	4113	4126	4277	4336	4335	4401	4047	4159	4151	4372	4180	4188	4190	4231	4286	4287	3884	3943	4340	4205	4073	4291	4167	4149	3716	4178	4157	4173	4310	4310	4313	4160	4143	4327	4253	4046	4169	4168	4274	4155	4157	4161	4231	4405	4160	4154	4208	4143	4440	4403	4433	3844	4171	4326	4381	4032	4317	3936	4388	4153	4150	4155	4178	4139	4149	4096	4096	4344	4317	4314	4320	4324	4316	4413	4315	4323	4322	4406	4330	4132
GCF_001007555.1_2015-04-28_protein	3905	4128	4105	4134	4226	4210	4109	4117	4116	4107	4120	4121	4114	3749	4102	4171	4129	4297	4154	4143	4143	4315	4179	4112	4064	4125	4198	4137	4134	4126	4260	4120	4311	3991	4143	4793	4231	4086	4146	4150	4164	4042	4147	4112	4109	4161	4147	4143	4170	4156	4218	4217	4215	4106	4123	4215	4212	4213	4124	4109	4120	4122	4123	4129	4152	4135	4148	4105	4161	4124	4201	4042	4213	4277	4180	4207	4238	4241	4142	4291	4291	4020	4002	4130	4024	4193	4295	4221	4221	3726	4181	4160	4247	4126	4126	4128	4204	4160	4139	4130	4106	4326	4138	4113	4149	4134	4160	4268	4186	4285	4148	4389	4170	4178	4141	4148	3906	4235	4097	4118	4202	4154	3962	4124	4195	4197	4191	4331	4132	4318	4156	4156	4147	4121	4153	4124	4126	4152	4174	4153	4126	4103	4199	4117	4142
GCF_001022215.1_ASM102221v1_protein	3838	4080	4071	4170	4147	4142	4495	4539	4536	4530	4545	4543	4535	3717	4071	4122	4089	4126	4108	4182	4182	4139	4135	4079	4038	4102	4153	4091	4108	4098	4276	4120	4143	3966	4199	4231	5033	4460	4140	4121	4122	4127	4096	4107	4104	4119	4096	4093	4128	4106	4134	4130	4128	4144	4158	4127	4125	4125	4160	4148	4160	4156	4164	4082	4170	4548	4562	4121	4174	4140	4193	4060	4125	4107	4130	4571	4600	4199	4157	4330	4331	3908	4005	4117	3983	4116	4336	4153	4191	3756	4126	4114	4151	4122	4121	4124	4171	4490	4092	4119	4070	4140	4100	4081	4125	4105	4131	4288	4173	4155	4125	4210	4502	4247	4194	4229	3857	4134	4127	4206	4119	4209	3936	4214	4670	4651	4115	4166	4105	4176	4117	4117	4122	4103	4115	4103	4106	4116	4154	4116	4104	4094	4191	4106	4522
GCF_001030265.1_Serr_marc_BWH57_V1_protein	3791	4038	3995	4061	4091	4092	4354	4411	4398	4401	4417	4404	4397	3650	3994	4081	4041	4049	3998	4072	4073	4054	4037	3999	3951	4050	4068	3997	4057	4046	4147	4044	4041	3880	4086	4086	4460	4793	4106	4025	4075	4072	4031	4048	4044	4075	4032	4030	4084	4043	4095	4093	4091	4063	4076	4090	4090	4087	4078	4064	4076	4074	4081	4036	4033	4421	4435	3993	4044	4029	4092	4061	4087	4031	4014	4423	4438	4090	4068	4190	4191	3828	3917	4029	3906	4089	4195	4116	4104	3666	4021	4060	4069	4000	3999	4002	4092	4387	4013	4006	4017	4067	4021	3994	4082	4034	4061	4147	4046	4055	4082	4111	4336	4138	4105	4139	3814	4051	4056	4072	3920	4070	3876	4081	4437	4426	4064	4062	4052	4045	4070	4070	4015	4019	4007	4020	4024	4008	4071	4009	4022	3994	4075	4007	4305
GCF_001034395.1_Serr_marc_UCI87_V1_protein	4073	4399	4221	4180	4340	4290	4098	4097	4097	4090	4101	4101	4094	3855	4218	4323	4223	4178	4158	4191	4192	4164	4160	4229	4040	4253	4249	4104	4260	4248	4226	4118	4195	3968	4097	4146	4140	4106	4615	4118	4232	4120	4111	4219	4216	4418	4112	4108	4430	4122	4291	4291	4289	4244	4264	4289	4287	4288	4266	4246	4262	4262	4265	4300	4254	4112	4123	4051	4105	4111	4179	4040	4287	4179	4115	4134	4136	4408	4159	4182	4182	3879	3903	4096	3995	4128	4186	4323	4336	3739	4279	4291	4362	4094	4093	4095	4368	4118	4114	4149	4282	4221	4252	4108	4281	4204	4218	4216	4118	4155	4280	4196	4126	4126	4127	4132	4043	4353	4062	4107	3996	4081	4192	4114	4149	4147	4366	4257	4256	4223	4453	4453	4090	4108	4106	4109	4111	4106	4123	4106	4110	4091	4169	4084	4069
GCF_001034405.1_Serr_marc_UCI88_V1_protein	3899	4098	4142	4108	4169	4131	4058	4058	4061	4053	4063	4064	4059	3790	4141	4138	4154	4157	4328	4118	4118	4149	4505	4153	4252	4150	4175	4486	4159	4148	4259	4316	4166	4279	4343	4150	4121	4025	4118	4623	4219	4054	4391	4164	4161	4131	4392	4388	4141	4403	4145	4144	4143	4142	4160	4143	4141	4141	4162	4145	4158	4159	4161	4170	4080	4069	4078	4254	4312	4323	4398	4076	4140	4141	4419	4121	4151	4175	4257	4304	4304	3831	3925	4310	4301	4079	4308	4165	4178	3758	4163	4163	4184	4469	4469	4473	4208	4090	4447	4284	4072	4152	4188	4402	4183	4156	4168	4250	4512	4129	4182	4176	4096	4336	4334	4339	3871	4174	4279	4302	3984	4378	3951	4305	4116	4116	4184	4210	4154	4155	4107	4107	4327	4355	4333	4359	4362	4335	4349	4334	4362	4316	4347	4393	4073
GCF_001051865.1_ASM105186v1_protein	3995	4194	4257	4124	4264	4238	4063	4063	4062	4055	4067	4065	4062	3888	4256	4251	4406	4206	4156	4134	4134	4198	4211	4262	4121	4294	4426	4194	4303	4292	4218	4172	4232	4040	4179	4164	4122	4075	4232	4219	4568	4093	4180	4406	4404	4229	4181	4178	4236	4193	4263	4262	4260	4385	4403	4260	4258	4259	4405	4384	4400	4401	4405	4268	4181	4076	4087	4101	4154	4157	4173	4116	4257	4204	4177	4107	4111	4239	4240	4233	4234	3898	3958	4166	4079	4151	4238	4262	4272	3741	4259	4279	4251	4185	4185	4187	4267	4091	4192	4134	4183	4211	4314	4171	4454	4429	4424	4230	4218	4162	4452	4225	4087	4185	4184	4190	3976	4233	4143	4163	4012	4147	4050	4168	4133	4129	4281	4237	4298	4195	4223	4223	4160	4192	4171	4195	4198	4171	4167	4171	4197	4153	4165	4163	4056
GCF_001060335.1_ASM106033v1_protein	3805	4012	4041	4166	4093	4112	4085	4082	4087	4080	4089	4091	4084	3687	4039	4071	4079	4011	4086	4178	4177	4040	4116	4047	4026	4060	4151	4031	4069	4060	4223	4067	4054	3926	4065	4042	4127	4072	4120	4054	4093	4729	4092	4079	4076	4048	4092	4088	4055	4098	4102	4101	4099	4150	4168	4099	4096	4097	4170	4157	4166	4167	4171	4112	4039	4127	4136	4001	4052	4056	4249	4269	4096	4019	4061	4119	4141	4167	4150	4224	4224	3818	3982	4042	3970	4095	4227	4095	4132	3720	4126	4107	4105	4034	4033	4036	4154	4120	4021	4099	4039	4082	4064	4032	4143	4108	4070	4207	4106	4026	4143	4046	4088	4054	4051	4051	3801	4092	4026	4131	3916	4045	3945	4137	4092	4090	4082	4089	4065	4057	4069	4069	4098	4063	4069	4064	4066	4069	4143	4069	4065	4070	4197	4036	4076
GCF_001060585.1_ASM106058v1_protein	3893	4073	4125	4091	4138	4139	4024	4021	4022	4016	4029	4029	4022	3774	4125	4118	4130	4115	4282	4102	4101	4143	4389	4134	4283	4139	4160	4366	4144	4133	4230	4292	4157	4199	4334	4147	4096	4031	4111	4391	4180	4092	4584	4152	4149	4105	4571	4569	4110	4575	4169	4168	4166	4133	4151	4166	4164	4164	4152	4141	4149	4150	4151	4148	4059	4040	4045	4289	4353	4358	4408	4070	4163	4136	4339	4113	4116	4156	4214	4244	4244	3834	3935	4308	4221	4066	4248	4148	4158	3740	4156	4156	4185	4358	4357	4361	4174	4079	4348	4263	4063	4131	4153	4325	4163	4142	4154	4205	4397	4130	4162	4155	4098	4308	4307	4313	3854	4164	4288	4311	3963	4319	3948	4314	4082	4081	4175	4176	4139	4126	4097	4097	4336	4347	4322	4351	4353	4322	4392	4322	4353	4337	4384	4362	4066
GCF_001060625.1_ASM106062v1_protein	3943	4167	4250	4115	4215	4245	4047	4044	4045	4037	4050	4048	4044	3881	4247	4202	4408	4160	4124	4125	4125	4125	4168	4252	4072	4246	4445	4140	4255	4244	4186	4144	4189	4028	4128	4112	4107	4048	4219	4164	4406	4079	4152	4626	4618	4200	4153	4146	4205	4157	4231	4231	4229	4388	4406	4229	4227	4227	4408	4393	4404	4404	4407	4229	4173	4071	4076	4084	4139	4140	4135	4070	4226	4163	4149	4102	4110	4227	4228	4193	4194	3842	3931	4120	4066	4117	4198	4218	4222	3711	4271	4243	4212	4134	4134	4136	4250	4054	4139	4105	4173	4173	4273	4166	4416	4415	4402	4199	4171	4125	4415	4199	4082	4148	4147	4154	3930	4209	4098	4137	3959	4128	4025	4142	4106	4100	4229	4183	4251	4163	4215	4215	4140	4175	4156	4175	4178	4156	4109	4156	4176	4130	4115	4125	4045
GCF_001060655.1_ASM106065v1_protein	3941	4164	4248	4113	4212	4242	4044	4041	4042	4034	4047	4045	4041	3883	4245	4199	4405	4156	4122	4123	4123	4122	4165	4250	4069	4244	4444	4137	4253	4242	4183	4141	4187	4026	4125	4109	4104	4044	4216	4161	4404	4076	4149	4618	4625	4197	4150	4144	4202	4154	4228	4228	4226	4386	4404	4226	4224	4223	4406	4391	4402	4402	4406	4225	4171	4069	4074	4082	4136	4137	4132	4067	4223	4160	4146	4099	4107	4225	4225	4190	4191	3840	3929	4117	4063	4114	4195	4215	4219	3710	4269	4241	4210	4131	4131	4133	4247	4051	4136	4103	4170	4170	4270	4163	4415	4413	4402	4196	4168	4122	4413	4196	4079	4145	4144	4151	3927	4207	4096	4134	3956	4125	4021	4139	4103	4097	4226	4180	4248	4160	4211	4211	4138	4173	4154	4173	4176	4154	4106	4154	4174	4127	4112	4122	4042
GCF_001061145.1_ASM106114v1_protein	4065	4416	4216	4130	4335	4283	4079	4084	4086	4076	4088	4090	4082	3850	4214	4311	4198	4184	4107	4141	4142	4168	4134	4223	4046	4259	4218	4103	4268	4256	4178	4110	4183	3953	4104	4161	4119	4075	4418	4131	4229	4048	4105	4200	4197	4639	4106	4100	4634	4111	4283	4283	4281	4189	4208	4281	4279	4280	4210	4194	4207	4206	4209	4263	4225	4106	4114	4068	4121	4107	4124	4042	4279	4171	4119	4120	4123	4361	4181	4180	4180	3874	3933	4089	3988	4116	4184	4329	4329	3688	4220	4243	4373	4111	4110	4112	4357	4099	4133	4086	4252	4167	4260	4094	4222	4181	4206	4183	4128	4138	4221	4204	4083	4136	4130	4139	4035	4359	4083	4092	3997	4073	4143	4098	4138	4137	4355	4200	4264	4177	4400	4400	4076	4116	4084	4120	4122	4084	4111	4084	4122	4075	4114	4111	4071
GCF_001061195.1_ASM106119v1_protein	3894	4074	4126	4092	4140	4141	4023	4021	4023	4016	4028	4029	4021	3773	4126	4120	4131	4115	4283	4103	4102	4143	4389	4135	4285	4139	4161	4366	4145	4134	4230	4293	4157	4200	4335	4147	4096	4032	4112	4392	4181	4092	4571	4153	4150	4106	4580	4564	4112	4575	4171	4170	4168	4133	4151	4168	4167	4166	4153	4141	4150	4150	4152	4149	4062	4041	4045	4291	4353	4361	4410	4071	4166	4136	4339	4113	4116	4157	4216	4245	4245	3834	3936	4309	4220	4067	4249	4150	4160	3740	4157	4157	4186	4358	4357	4361	4175	4079	4350	4264	4065	4131	4154	4325	4165	4143	4155	4206	4397	4130	4163	4155	4098	4309	4308	4314	3855	4165	4289	4312	3963	4319	3948	4315	4081	4080	4176	4176	4140	4126	4099	4099	4337	4348	4323	4352	4354	4323	4392	4323	4354	4338	4384	4362	4066
GCF_001061225.1_ASM106122v1_protein	3891	4071	4123	4088	4136	4137	4019	4018	4020	4014	4026	4025	4018	3772	4122	4116	4127	4112	4281	4099	4098	4139	4386	4131	4280	4135	4158	4364	4141	4130	4226	4290	4154	4197	4333	4143	4093	4030	4108	4388	4178	4088	4569	4146	4144	4100	4564	4580	4107	4572	4167	4166	4164	4129	4147	4164	4162	4162	4149	4135	4146	4146	4148	4145	4058	4034	4042	4282	4346	4354	4404	4064	4161	4133	4338	4110	4113	4153	4212	4242	4242	3830	3931	4307	4218	4064	4246	4146	4156	3738	4153	4153	4182	4355	4354	4359	4171	4076	4346	4261	4061	4128	4150	4323	4161	4139	4151	4203	4395	4126	4160	4152	4095	4307	4305	4311	3853	4161	4286	4311	3960	4317	3945	4314	4077	4076	4172	4173	4136	4123	4095	4095	4335	4346	4318	4349	4352	4319	4390	4319	4352	4336	4382	4360	4063
GCF_001062235.1_ASM106223v1_protein	4074	4425	4226	4138	4345	4290	4087	4094	4095	4086	4098	4097	4092	3859	4223	4321	4205	4194	4116	4149	4150	4178	4144	4233	4055	4269	4225	4113	4278	4266	4187	4119	4192	3963	4113	4170	4128	4084	4430	4141	4236	4055	4110	4205	4202	4634	4112	4107	4650	4120	4291	4291	4289	4197	4216	4289	4288	4288	4219	4198	4214	4214	4217	4272	4236	4113	4123	4075	4128	4113	4132	4047	4288	4178	4129	4128	4131	4371	4192	4189	4189	3877	3940	4100	3998	4124	4193	4339	4339	3696	4230	4253	4383	4121	4120	4122	4367	4109	4142	4094	4261	4177	4271	4104	4231	4187	4213	4193	4137	4147	4229	4213	4093	4147	4141	4150	4042	4367	4092	4100	4007	4081	4156	4106	4148	4147	4365	4211	4274	4186	4410	4410	4084	4124	4092	4128	4130	4092	4119	4092	4130	4083	4122	4120	4078
GCF_001062285.1_ASM106228v1_protein	3903	4084	4135	4101	4151	4149	4033	4032	4031	4026	4038	4036	4030	3783	4136	4131	4141	4126	4296	4111	4111	4153	4401	4144	4296	4149	4173	4378	4155	4144	4240	4304	4167	4210	4348	4156	4106	4043	4122	4403	4193	4098	4575	4157	4154	4111	4575	4572	4120	4594	4180	4179	4177	4142	4162	4177	4176	4176	4163	4146	4159	4161	4162	4158	4071	4045	4053	4292	4355	4366	4416	4075	4174	4146	4352	4124	4127	4168	4225	4256	4256	3842	3946	4321	4231	4078	4260	4160	4170	3749	4166	4167	4195	4369	4368	4371	4186	4089	4360	4273	4076	4142	4165	4336	4175	4153	4165	4218	4408	4141	4174	4166	4109	4322	4321	4327	3865	4174	4300	4324	3971	4328	3957	4327	4091	4090	4186	4186	4150	4137	4108	4108	4348	4359	4332	4364	4366	4332	4403	4332	4366	4351	4394	4373	4075
GCF_001063125.1_ASM106312v1_protein	4045	4291	4226	4207	4373	4464	4113	4113	4114	4107	4119	4119	4113	3854	4224	4348	4234	4204	4153	4218	4218	4224	4161	4232	4114	4255	4251	4158	4263	4251	4281	4153	4249	3988	4166	4218	4134	4095	4291	4145	4263	4102	4169	4231	4228	4283	4171	4167	4291	4180	4656	4645	4645	4221	4240	4645	4642	4630	4243	4222	4238	4238	4241	4301	4246	4121	4131	4090	4147	4153	4181	4092	4639	4255	4171	4157	4167	4328	4227	4290	4290	3936	3976	4125	4025	4231	4294	4414	4394	3774	4253	4261	4354	4132	4131	4133	4347	4126	4166	4137	4312	4252	4272	4117	4254	4251	4244	4241	4175	4239	4253	4268	4141	4166	4165	4170	4069	4330	4125	4115	4053	4104	4126	4122	4146	4140	4339	4242	4258	4204	4311	4311	4131	4140	4123	4144	4146	4125	4188	4124	4146	4129	4159	4121	4088
GCF_001063145.1_ASM106314v1_protein	4044	4291	4226	4204	4373	4464	4112	4110	4111	4104	4116	4116	4110	3855	4224	4349	4234	4202	4151	4215	4215	4223	4160	4232	4113	4255	4251	4158	4263	4251	4281	4152	4248	3987	4163	4217	4130	4093	4291	4144	4262	4101	4168	4231	4228	4283	4170	4166	4291	4179	4645	4646	4643	4221	4240	4643	4641	4629	4243	4222	4238	4238	4241	4301	4246	4118	4128	4087	4144	4151	4177	4092	4638	4254	4169	4151	4161	4327	4226	4288	4288	3935	3972	4123	4025	4230	4292	4415	4394	3774	4252	4260	4353	4132	4131	4133	4346	4120	4164	4136	4313	4251	4272	4115	4252	4251	4243	4240	4175	4239	4251	4267	4136	4162	4161	4166	4069	4329	4121	4113	4051	4100	4123	4120	4141	4136	4338	4240	4258	4203	4311	4311	4130	4139	4122	4143	4145	4123	4185	4123	4145	4127	4155	4120	4084
GCF_001063175.1_ASM106317v1_protein	4042	4289	4224	4203	4373	4463	4110	4108	4109	4102	4114	4114	4108	3853	4222	4347	4232	4202	4150	4214	4214	4222	4158	4230	4111	4253	4249	4156	4261	4249	4279	4150	4247	3986	4162	4215	4128	4091	4289	4143	4260	4099	4166	4229	4226	4281	4168	4164	4289	4177	4645	4643	4645	4219	4238	4643	4640	4628	4241	4220	4236	4236	4239	4299	4245	4116	4126	4086	4143	4150	4176	4090	4637	4253	4168	4149	4159	4325	4225	4286	4286	3934	3971	4121	4023	4229	4290	4413	4393	3772	4250	4258	4351	4130	4129	4131	4344	4119	4163	4134	4312	4250	4270	4114	4250	4249	4241	4238	4173	4237	4249	4266	4134	4160	4159	4164	4068	4327	4120	4111	4050	4098	4123	4118	4140	4135	4336	4240	4256	4201	4309	4309	4128	4137	4120	4141	4143	4122	4184	4121	4143	4126	4154	4119	4082
GCF_001063325.1_ASM106332v1_protein	3944	4151	4236	4128	4192	4241	4082	4081	4081	4077	4087	4085	4080	3867	4233	4186	4365	4157	4162	4141	4140	4138	4202	4242	4078	4263	4419	4132	4271	4261	4215	4132	4181	4003	4146	4106	4144	4063	4244	4142	4385	4150	4133	4388	4386	4189	4133	4129	4197	4142	4221	4221	4219	4680	4670	4219	4216	4216	4671	4659	4669	4669	4677	4274	4146	4100	4109	4124	4184	4186	4213	4049	4216	4159	4135	4143	4148	4272	4211	4177	4178	3865	3919	4121	4071	4115	4182	4195	4220	3734	4310	4278	4213	4112	4112	4115	4244	4093	4124	4157	4148	4205	4270	4132	4452	4387	4374	4216	4154	4128	4450	4180	4121	4130	4127	4135	3914	4211	4091	4166	3974	4115	4079	4172	4116	4113	4228	4217	4266	4206	4226	4226	4139	4134	4141	4134	4137	4141	4160	4141	4135	4129	4207	4122	4051
GCF_001063375.1_ASM106337v1_protein	3960	4170	4254	4148	4211	4262	4096	4095	4096	4090	4100	4101	4096	3887	4252	4205	4384	4173	4180	4160	4160	4156	4221	4260	4097	4281	4439	4150	4289	4279	4232	4150	4199	4020	4165	4123	4158	4076	4264	4160	4403	4168	4151	4406	4404	4208	4151	4147	4216	4162	4240	4240	4238	4670	4698	4238	4236	4236	4694	4671	4685	4692	4695	4293	4163	4115	4126	4143	4202	4204	4234	4067	4235	4178	4153	4158	4164	4292	4231	4194	4195	3880	3936	4140	4086	4132	4199	4214	4239	3748	4327	4297	4232	4130	4130	4132	4265	4111	4142	4174	4167	4224	4288	4149	4470	4408	4393	4235	4173	4147	4469	4200	4136	4149	4146	4154	3932	4230	4106	4184	3990	4132	4095	4190	4129	4128	4247	4236	4284	4224	4244	4244	4157	4151	4158	4151	4154	4158	4180	4158	4152	4149	4228	4141	4065
GCF_001064335.1_ASM106433v1_protein	4042	4289	4224	4203	4372	4463	4109	4107	4108	4101	4113	4113	4107	3854	4222	4347	4232	4202	4150	4214	4214	4222	4158	4230	4111	4253	4249	4156	4261	4249	4278	4150	4247	3986	4162	4215	4127	4090	4289	4143	4260	4099	4166	4229	4226	4281	4168	4164	4289	4177	4645	4643	4643	4219	4238	4645	4640	4628	4241	4220	4237	4236	4240	4299	4245	4115	4125	4086	4142	4150	4175	4090	4638	4253	4168	4148	4158	4325	4225	4285	4285	3934	3971	4121	4024	4229	4289	4412	4393	3772	4250	4258	4351	4130	4129	4131	4344	4119	4163	4134	4311	4250	4270	4114	4250	4249	4241	4237	4173	4237	4249	4266	4133	4160	4159	4164	4068	4327	4120	4111	4050	4097	4123	4118	4139	4134	4336	4240	4256	4202	4309	4309	4128	4137	4120	4141	4143	4121	4184	4120	4143	4126	4154	4119	4081
